Ano,Area_Queimada_Anual
2012,19500.0
2013,8150.0
2014,650.0
2015,8725.0
2016,18500.0
2017,4575.0
2018,6200.0
2019,5350.0
2020,17175.0
2021,16675.0
2022,7650.0
2023,7000.0
