Ano,Area_Queimada_Anual
2012,11050.0
2013,1525.0
2014,5850.0
2015,4100.0
2016,9650.0
2017,6650.0
2018,1875.0
2019,3550.0
2020,15350.0
2021,6000.0
2022,1375.0
2023,2325.0
