Ano,Area_Queimada_Anual
2012,54825.0
2013,23650.0
2014,29775.0
2015,33775.0
2016,13900.0
2017,128550.0
2018,5225.0
2019,42425.0
2020,148850.0
2021,32350.0
2022,53650.0
2023,17675.0
