Ano,Area_Queimada_Anual
2012,150.0
2013,0.0
2014,0.0
2015,250.0
2016,150.0
2017,200.0
2018,550.0
2019,2325.0
2020,7075.0
2021,5075.0
2022,6300.0
2023,4850.0
