Ano,Area_Queimada_Anual
2012,100450.0
2013,10150.0
2014,19150.0
2015,161075.0
2016,52775.0
2017,65100.0
2018,1150.0
2019,17350.0
2020,15525.0
2021,2100.0
2022,5875.0
2023,13325.0
