Ano,Area_Queimada_Anual
2012,575.0
2013,150.0
2014,850.0
2015,1225.0
2016,18350.0
2017,1500.0
2018,575.0
2019,45825.0
2020,2400.0
2021,225.0
2022,300.0
2023,1175.0
